name,EN,SD,SF,AG,MI,SSIM,CC,SCD,Qabf
FLIR_05759,7.143897961058045,36.50487077139248,7.326322456557374,21.59588606267041,2.2303356081337826,0.8178980113147918,0.7440486463683411,1.4507293791344238,0.4521304348701883
FLIR_05767,7.211848508962701,41.27177898318794,7.303686924732886,19.543015843705575,3.133425270062414,0.842170618993084,0.8414916815053761,1.2333424845221308,0.42944539223609424
FLIR_05879,6.89924346810772,34.94418062874556,5.977992734754607,15.905450170011267,3.4554754286498857,0.8486060795837527,0.845872743381721,1.0626101567470567,0.4251684799028322
FLIR_05893,7.176587217513294,43.380947559018,5.910111823073273,16.203769041930766,3.9923232131685538,0.8707523717525123,0.8926865835268012,0.991573859308774,0.4371117919006584
FLIR_05914,7.360879244663065,47.53209682109529,6.2299927056953885,16.413117187463946,3.56248592675924,0.8562896994943667,0.8655970404406863,1.1350935119071242,0.4411234434241907
FLIR_05955,7.059149811188472,38.004824343674855,6.082609534695372,16.008249319793887,4.600376628835129,0.8832535539916407,0.8967277889070557,0.9897333254174012,0.4441874353317364
FLIR_05987,7.222534758214763,42.57890113099657,6.744643315684144,18.899204141976174,3.467850826246402,0.8528460053149908,0.8478112922416996,1.2760637163132658,0.4567631770294598
FLIR_06065,7.1225124015462,40.87853900569877,7.564877743090929,22.23975570961534,3.3498053466585116,0.8241682126188231,0.8693694682925386,1.290907056125343,0.4824771727907333
FLIR_06099,7.065658636817165,38.07661926219827,6.648307072115493,19.035104385642533,3.6799738280547065,0.8532867405825504,0.8915169405315582,1.1683818971081104,0.4548552200709781
FLIR_06128,7.128866274766936,39.82079468655319,6.437859536190244,18.24843663129059,3.852473870744559,0.8529919924997762,0.8978296006363807,1.1603110157372474,0.4499573926914975
FLIR_06184,7.2322477074677325,43.37329959725438,6.389610673224393,19.426704961188356,4.034805817171458,0.8251016178939339,0.9156999702861452,1.1826981490655333,0.4884679707200859
FLIR_06219,6.775757600939739,32.53290504898573,6.7002146015604716,19.2660257434635,2.9478638423669867,0.8494476027942772,0.8491281696618296,1.2898915634572954,0.483319200614949
FLIR_06236,7.162460277968606,37.68789022057175,7.31527215775903,22.016843920500115,3.3563218164813353,0.8214042947591291,0.8859690309522927,1.2388488142053609,0.48162062894730834
FLIR_06422,6.910161953769675,32.75956363729598,10.194364240764328,28.534758239873444,2.7956172738904512,0.7175620927857864,0.4052550512035251,1.9030583007147195,0.4569874037129088
FLIR_06506,6.735149723839802,27.857127729430474,11.24440136027791,29.432299668194577,2.479999488644793,0.6949892326465881,0.34982059222885076,1.9120632097696597,0.4334420751886534
FLIR_06570,6.883158078870458,30.793262392018633,10.924157100715483,31.046753167534042,2.6458439644007674,0.7197165684007878,0.3853853874786511,1.8989923508309916,0.4773978713031251
FLIR_06621,6.603954529836193,27.429536451290264,8.407939978685214,25.02851452860284,2.425660427938586,0.7777319723989424,0.68453355891322,1.579137205223181,0.43874138909031013
FLIR_06775,6.740010273601079,27.295793863898975,8.43281509297183,27.883269298562784,1.8861315489888848,0.7043602753348379,0.4512625763476322,1.8295924156368852,0.3875495034600058
FLIR_06832,6.657647366087496,25.52586256581834,8.393065568542879,27.274531364745016,1.942939264904131,0.7108764136789589,0.41686715822682685,1.853488181768431,0.41458003711024866
FLIR_06874,6.728027002120262,27.693703163344487,8.000241592920121,24.850938201559863,2.4280052045330462,0.7560436503247076,0.46901303053392784,1.8357234760207883,0.4519853461013162
FLIR_06876,6.745324940218365,27.426113015941855,7.9196871492892,24.639443625976796,2.675481666055356,0.7290063963612969,0.40543590846051514,1.876238657646598,0.4480689881556652
FLIR_06892,6.506457136195742,29.931368997644757,7.754370767886965,23.36638354371909,2.281343110355738,0.7766984576647202,0.5468813621749701,1.780479264231365,0.40670264092733
FLIR_06953,7.018330395347163,32.005674920875144,13.647665516295966,43.638084670755276,1.7657686962289378,0.6341035209341888,0.4741868478120662,1.8032303081791334,0.4528464821181823
FLIR_06992,6.902637628376656,33.746052500147854,9.075990824640888,27.45354020990101,2.558213893141593,0.7782571310849652,0.7421161484065129,1.4265593419298686,0.44924524589217235
FLIR_06995,7.1393301372478195,44.35044351652146,8.450034153848325,26.932726921473442,4.076441154357052,0.7512865641659958,0.7030433351359114,1.134766210615156,0.5808615268350265
FLIR_06997,7.273287891530666,43.00587432590259,9.621956598446767,30.198380605963965,3.3128845360972576,0.7175507360152302,0.6013950704687524,1.5637391287507958,0.5603173538338773
FLIR_07012,7.498585406564519,49.971078236501356,7.532556291269874,25.519372875748747,3.34234063762921,0.7586997375695028,0.7708267803258122,1.1579291050956748,0.5194639828000208
FLIR_07028,7.375220664503644,44.59286096493339,8.032846859940678,26.39526237502395,3.2742809355093554,0.7651380617159398,0.7667190519494089,1.1451691654559009,0.5284250176988287
