name,MSE,RMSE,NCC,LNCC
FLIR_05072,0.01024831557448803,0.10123396453013203,0.9250600502663581,0.4401220977306366
FLIR_05095,0.008700574834999919,0.09327687191903425,0.9184979088487398,0.3606354892253876
FLIR_05102,0.006858148916030408,0.08281394155593856,0.9283882754634856,0.4480418562889099
FLIR_05105,0.007789299070523889,0.08825700578721153,0.9315454374524674,0.4180719554424286
FLIR_05164,0.013279931924708693,0.11523858696074285,0.8788360493969922,0.45458754897117615
FLIR_05201,0.014760296328715164,0.12149195993445477,0.869085638315041,0.35850876569747925
FLIR_05759,0.0035505996885762357,0.059586908701293066,0.9505992450769277,0.5771618485450745
FLIR_05767,0.004198708706814865,0.06479744367500052,0.9464877122112378,0.39904341101646423
FLIR_05879,0.0037755034360192593,0.06144512540486234,0.9369160309181228,0.4537426829338074
FLIR_05893,0.0018352765952626667,0.042840128329203996,0.9774541294166216,0.4520607888698578
FLIR_05914,0.0032274082390095077,0.056810282863311884,0.9660302909272822,0.3832848072052002
FLIR_05955,0.0022053815455964215,0.04696149002743015,0.9669769165436627,0.4359707832336426
FLIR_05987,0.005173570758512669,0.07192753824866154,0.9208789165846784,0.3699052035808563
FLIR_06065,0.0025705493420587057,0.050700585224025825,0.952663030396816,0.5310781002044678
FLIR_06099,0.0020824711318963357,0.04563410053782517,0.962013214663462,0.47884926199913025
FLIR_06128,0.00453534963644297,0.06734500453963137,0.9234217766125599,0.28632718324661255
FLIR_06184,0.005305631768836207,0.07283976777033413,0.9183643414579874,0.37471771240234375
FLIR_06219,0.0038385318158371206,0.061955886046743944,0.8966808390452013,0.3772280514240265
FLIR_06236,0.0050844465658789785,0.07130530531369303,0.8900274331497829,0.36025485396385193
FLIR_06422,0.005011945344721659,0.07079509407241195,0.9517286408086726,0.460389643907547
FLIR_06506,0.0042539789651461326,0.06522253418218378,0.9517047603444766,0.46239030361175537
FLIR_06570,0.008765984370665126,0.09362683573989418,0.9120306320415338,0.2964726686477661
FLIR_06621,0.005421625054258197,0.07363168512439598,0.8624674435595688,0.6020473837852478
FLIR_06775,0.005613074809339145,0.07492045654785577,0.9364043535224957,0.42937222123146057
FLIR_06832,0.007905147717830638,0.08891089763257728,0.9136597573919447,0.32837793231010437
FLIR_06874,0.005338843898434046,0.07306739285368026,0.9405465721606698,0.5424911975860596
FLIR_06876,0.0036768482556204735,0.06063702050414807,0.9679739271868325,0.6183766722679138
FLIR_06892,0.006254014284551694,0.07908232599356,0.9130927143905118,0.4503900408744812
FLIR_06953,0.017002425091201184,0.13039334757264723,0.8628016667891173,0.40407514572143555
FLIR_06992,0.006231221585220927,0.07893808703801307,0.8770941921683897,0.41950491070747375
FLIR_06995,0.011879213792693256,0.10899180608051807,0.9206044939733,0.3798278570175171
FLIR_06997,0.013605733699757306,0.11664361834132764,0.9112797647091158,0.32306399941444397
FLIR_07012,0.012717346816427241,0.1127712144850238,0.9180878707535646,0.3344328701496124
FLIR_07028,0.007083080316786587,0.08416103799732146,0.9464544959997546,0.4850170910358429
FLIR_07176,0.007625665552873325,0.087325056844375,0.9578000557222782,0.574626088142395
FLIR_07190,0.004515758976582136,0.06719939714448439,0.9662608762272846,0.5001323223114014
FLIR_07206,0.006725837160409373,0.08201120143254441,0.9442566281904887,0.4088436961174011
FLIR_07209,0.007030555118348513,0.08384840558024054,0.9416503393696402,0.4063853323459625
FLIR_07210,0.008313485920916934,0.09117831935782175,0.9368885599309555,0.4938127398490906
FLIR_07360,0.006765425455848824,0.08225220638894025,0.9544851236222922,0.46718522906303406
FLIR_07365,0.012200283385224614,0.11045489298905962,0.8955128055816965,0.45984339714050293
FLIR_07399,0.013105959499583824,0.11448126265718694,0.9103294462543506,0.5063969492912292
FLIR_07427,0.006213109151890321,0.07882327798239756,0.9368315042170013,0.594968318939209
FLIR_07428,0.0062203426439663275,0.0788691488730944,0.9261130251548214,0.4687167704105377
FLIR_07504,0.004203597101287806,0.06483515328344498,0.8844798228729489,0.39536866545677185
FLIR_07555,0.002754023274800393,0.05247878880843567,0.9117821440248383,0.4208727180957794
FLIR_07583,0.003170656855983271,0.056308585988135686,0.9507163474481947,0.6184689402580261
FLIR_07620,0.00397496486786314,0.06304732244800837,0.9094391922431422,0.3693653345108032
FLIR_07732,0.003826020691135463,0.06185483563259596,0.9179646111900005,0.36280369758605957
FLIR_07747,0.0034625456267746908,0.05884339917760267,0.927582004426549,0.41132792830467224
FLIR_07809,0.0018050368670015778,0.04248572544986819,0.9550680269571502,0.538165807723999
FLIR_07968,0.0020195383563517155,0.04493927409684891,0.9531960844569866,0.5354101061820984
FLIR_08021,0.0015031753717693848,0.038770805663145363,0.9608066870678148,0.40826618671417236
FLIR_08191,0.004649942494964734,0.06819048683624963,0.9029230014691223,0.4596899151802063
FLIR_08220,0.0018501254766919459,0.04301308494739648,0.9517280743440266,0.439751535654068
FLIR_08248,0.003157948003351268,0.056195622635141856,0.9087802814671162,0.3490407168865204
FLIR_08526,0.0021376285684933578,0.04623449543893993,0.9331019002499208,0.4419320523738861
FLIR_08756,0.00444017697811348,0.06663465298261469,0.9224773551521155,0.5354453921318054
FLIR_08768,0.005457983722092743,0.07387816810190101,0.9331949625787205,0.4593124985694885
FLIR_08835,0.0034001394985803636,0.058310715126641724,0.9494146069353427,0.6525142788887024
FLIR_08914,0.0062841459977789225,0.07927260559473823,0.9459047149825409,0.4986306428909302
FLIR_08919,0.009432606298971809,0.09712160572690202,0.911961033895922,0.3703634738922119
FLIR_08932,0.005441102114854179,0.07376382660121544,0.9457006010965128,0.44686979055404663
FLIR_08970,0.006163006265631186,0.07850481683076005,0.9447541086384157,0.4369298219680786
FLIR_08992,0.009608903944761991,0.09802501693324,0.9089298904555226,0.3288610279560089
FLIR_08999,0.005326156606433423,0.07298052210304762,0.909513552736874,0.4290105402469635
FLIR_09336,0.004230949520082798,0.06504574943901252,0.9533135261994127,0.5409504175186157
FLIR_09367,0.004057387037074953,0.06369762191067224,0.9519838595665614,0.5540095567703247
FLIR_09376,0.0038016584600484094,0.061657590449582196,0.9618831212639968,0.5007139444351196
FLIR_09416,0.009469396234357918,0.09731082280177225,0.9140453686907428,0.3882461488246918
FLIR_09512,0.007555971858112703,0.08692509337419606,0.9373430365559038,0.3971826136112213
FLIR_09545,0.004959883917904418,0.07042644331431495,0.9415417902529395,0.5068193674087524
FLIR_09616,0.006486871993354178,0.08054111989135847,0.9262128015962445,0.5830277800559998
FLIR_09624,0.008291253800087328,0.09105632213134532,0.9311686775914746,0.3303441107273102
FLIR_09636,0.01120396333957903,0.10584877580576467,0.8949969007002048,0.3640812933444977
FLIR_video_00069,0.005009964469898845,0.07078110249140547,0.949541291735828,0.514795184135437
FLIR_video_00248,0.004790372031076318,0.06921251354398508,0.9497501152329102,0.4902256727218628
FLIR_video_00843,0.002500394094772799,0.05000394079242954,0.9717367529281361,0.659661591053009
FLIR_video_00939,0.006922305282343191,0.08320039232084901,0.9255082831949156,0.42523348331451416
FLIR_video_01425,0.009483127076728201,0.09738134871076802,0.8907579999705761,0.4104340970516205
FLIR_video_03237,0.013805454136595235,0.11749661329840633,0.8699084995219728,0.360700786113739
FLIR_video_03425,0.010966981377923278,0.10472335641070371,0.9025617947871956,0.34606030583381653
FLIR_video_03894,0.006294838330870341,0.07934001720991962,0.9494658671444712,0.43572959303855896
FLIR_video_04215,0.003983530600890996,0.06311521687272409,0.9524559379976082,0.6139305233955383
