name,MSE,RMSE,NCC,LNCC
FLIR_05064,0.012785491200860593,0.11307294637029935,0.8926883850519586,0.40354377031326294
FLIR_05072,0.010248711061289262,0.10123591784188685,0.9250568961281633,0.4401017427444458
FLIR_05095,0.008700479459878497,0.09327636067020677,0.9184983138839012,0.360664039850235
FLIR_05102,0.0068580910836748875,0.08281359238479447,0.9283891301891569,0.4480585753917694
FLIR_05105,0.007785831970684134,0.0882373615351464,0.9315763101606415,0.41822677850723267
FLIR_05164,0.013279391459614319,0.11523624195371142,0.8788411519904035,0.4546111524105072
FLIR_05201,0.014760890931277571,0.1214944069958678,0.8690816786086427,0.3585206866264343
FLIR_05759,0.0035505996885762357,0.059586908701293066,0.9505992450769277,0.5771618485450745
FLIR_05767,0.004198641718995036,0.06479692677122145,0.9464886407586325,0.3990272581577301
FLIR_05879,0.0037748404387076217,0.061439730132119084,0.9369264481261442,0.4537183344364166
FLIR_05893,0.0018352722458687422,0.042840077566091574,0.9774541930383239,0.4520653784275055
FLIR_05914,0.0032274082390095077,0.056810282863311884,0.9660302909272822,0.3832848072052002
FLIR_05955,0.0022053815455964215,0.04696149002743015,0.9669769165436627,0.4359707832336426
FLIR_05987,0.0051730714551577435,0.07192406728736733,0.9208864670058684,0.3699120581150055
FLIR_06065,0.0025705311255048674,0.05070040557534888,0.9526632951735339,0.5310854315757751
FLIR_06099,0.0020828579947042535,0.04563833908792314,0.9620061871985213,0.4788094758987427
FLIR_06128,0.004535201485191654,0.06734390458825248,0.9234245456740691,0.28632062673568726
FLIR_06184,0.005305629362906842,0.07283975125511373,0.9183643058817896,0.3747238516807556
FLIR_06219,0.003838299703144927,0.06195401280905804,0.8966867283866732,0.3772405683994293
FLIR_06236,0.005084374695484689,0.07130480134945114,0.8900280690352598,0.360262006521225
FLIR_06422,0.005011945344721659,0.07079509407241195,0.9517286408086726,0.460389643907547
FLIR_06506,0.004253970964906573,0.06522247285182135,0.9517047833564919,0.4623875617980957
FLIR_06570,0.008765984370665126,0.09362683573989418,0.9120306320415338,0.2964726686477661
FLIR_06621,0.005422267006653547,0.07363604420834641,0.8624516087222939,0.6019941568374634
FLIR_06775,0.005613252517276318,0.07492164251587333,0.9364019739358861,0.42934948205947876
FLIR_06832,0.007905147717830638,0.08891089763257728,0.9136597573919447,0.32837793231010437
FLIR_06874,0.005338659058498046,0.0730661279834784,0.9405486832336694,0.5424994230270386
FLIR_06876,0.0036768217007936434,0.06063680153828732,0.9679742268580038,0.618388295173645
FLIR_06892,0.006254006882704763,0.07908227919518229,0.9130931100430838,0.45038434863090515
FLIR_06953,0.01700255401340959,0.13039384193055126,0.8628011383884114,0.4040742516517639
FLIR_06992,0.006231221585220927,0.07893808703801307,0.8770941921683897,0.41950491070747375
FLIR_06995,0.011879342979326411,0.10899239872269263,0.9206043663743909,0.3798535466194153
FLIR_06997,0.013605733699757306,0.11664361834132764,0.9112797647091158,0.32306399941444397
FLIR_07012,0.01271748514603692,0.11277182780303296,0.9180871154227417,0.3344399034976959
FLIR_07028,0.007083080316786587,0.08416103799732146,0.9464544959997546,0.4850170910358429
FLIR_07176,0.007625750429719788,0.0873255428252226,0.9577996167348463,0.5746243596076965
FLIR_07190,0.004515985397015697,0.06720108181432571,0.9662591266397129,0.5001357793807983
FLIR_07206,0.006725937890907232,0.08201181555670642,0.9442555884980445,0.40883976221084595
